Model,Accuracy (%),Precision (%),Recall (%),Macro F1 (%),Params(M),Size(MB),CPU(ms)
EfficientNetV2-S,85.7,90.7,89.8,89.6,20.18,77.86,
ResNet-101,78.6,91.1,84.9,83.1,42.51,162.77,
ConvNeXt-Tiny,75.0,83.2,82.3,79.9,27.82,106.21,
MobileNetV2,76.8,87.9,74.8,76.7,2.23,8.74,
VGG-16,75.0,83.8,73.5,75.1,134.28,512.25,
Agri-EfficientNet (Ours),75.0,83.7,73.6,75.0,4.02,15.61,
ResNet-50,73.2,81.6,72.2,74.2,23.52,90.02,
EfficientNet-B0 (No LFA),73.2,84.4,72.4,72.0,4.01,15.6,
MobileNetV3-Large,69.6,75.0,78.5,71.3,4.21,16.25,
ShuffleNetV2-1.0x,17.9,20.8,40.0,21.6,1.26,4.97,
