Model,Accuracy (%),Precision (%),Recall (%),Macro F1 (%),Params(M),Size(MB),CPU(ms)
ConvNeXt-Tiny,98.3,98.9,98.8,98.8,27.82,106.21,
VGG-16,93.3,95.2,95.1,95.0,134.28,512.25,
ResNet-101,91.7,94.2,94.0,94.0,42.51,162.77,
EfficientNetV2-S,88.3,91.6,91.5,91.6,20.18,77.86,
MobileNetV3-Large,88.3,91.7,91.5,91.6,4.21,16.25,
ResNet-50,86.7,91.0,90.4,90.5,23.52,90.02,
MobileNetV2,86.7,90.1,90.3,90.2,2.23,8.74,
EfficientNet-B0 (No LFA),90.0,84.2,92.8,86.7,4.01,15.6,
Agri-EfficientNet (Ours),88.3,82.7,91.5,85.4,4.02,15.61,
ShuffleNetV2-1.0x,16.7,20.4,40.0,20.8,1.26,4.97,
