Model,Perturbation,Macro F1 (%)
Agri-EfficientNet (LFA),Clean (Baseline),85.4
Agri-EfficientNet (LFA),Gaussian Noise,34.0
Agri-EfficientNet (LFA),Low Brightness,90.1
Agri-EfficientNet (LFA),High Brightness,82.2
Agri-EfficientNet (LFA),Motion Blur,66.5
Agri-EfficientNet (LFA),Occlusion (30%),82.9
ResNet-50 (Baseline),Clean (Baseline),90.5
ResNet-50 (Baseline),Gaussian Noise,89.9
ResNet-50 (Baseline),Low Brightness,89.4
ResNet-50 (Baseline),High Brightness,90.4
ResNet-50 (Baseline),Motion Blur,73.5
ResNet-50 (Baseline),Occlusion (30%),90.6
EfficientNet-B0 (No LFA),Clean (Baseline),86.7
EfficientNet-B0 (No LFA),Gaussian Noise,44.2
EfficientNet-B0 (No LFA),Low Brightness,91.1
EfficientNet-B0 (No LFA),High Brightness,87.6
EfficientNet-B0 (No LFA),Motion Blur,63.5
EfficientNet-B0 (No LFA),Occlusion (30%),79.0
